"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"81102","6.35483871","0.15125755","0.15736041","0.16666667","FAR1","4","4","14","-0.158","5.9763E-4","-0.803","4.7408E-8","0.972","6.3708E-7","false","false","YJL157C","6.0","4","0","0","0.80167264","false","0","YJL157C","15458","0.275"
"81103","6.82258065","2.449E-5","0.1465721","0.66666667","MFA2","3","3","16","-0.764","3.148E-11","-0.098","0.05338","-1.237","1.1916E-10","false","false","YNL145W","9.33333333","3","0","0","0.78434886","false","0","YNL145W","6","0.49122807"
"81104","6.82258065","2.449E-5","0.1465721","0.66666667","MFA1","3","3","16","-0.659","2.4721E-10","-0.147","0.011212","-0.526","5.5223E-10","false","false","YDR461W","9.33333333","3","0","0","0.78434886","false","0","YDR461W","6","0.49122807"
"81105","6.74193548","0.05930986","0.14832536","0.33333333","CLB1","3","3","16","-0.25","7.5764E-7","-0.566","2.3869E-7","0.101","0.1936","false","false","YGR108W","7.66666667","3","0","0","0.78733572","false","0","YGR108W","7562","0.36666667"
"81106","6.7016129","0.04542209","0.14921781","0.0","PCK1","2","2","16","1.289","7.092E-13","1.224","1.8547E-10","0.123","0.13819","false","false","YKR097W","11.0","2","0","0","0.78882915","false","0","YKR097W","4434","0.5"
"81107","6.83064516","0.00806452","0.14639906","0.0","HSP150","2","2","16","-0.357","6.8879E-8","0.111","0.041194","0.001","0.999999","false","false","YJL159W","9.5","2","0","0","0.78405018","false","0","YJL159W","1032","0.5"
"81108","6.8266129","0.0","0.14648553","1.0","BAR1","2","2","16","-0.622","7.0996E-11","-0.207","0.0040782","-1.117","2.9167E-11","false","false","YIL015W","12.0","2","0","0","0.78419952","false","0","YIL015W","0","0.63157895"
"81109","5.84274194","0.5264582","0.17115252","0.05882353","MCM1","18","18","15","-0.183","0.0035372","-0.654","4.2514E-6","0.457","2.4112E-4","false","false","YMR043W","2.66666667","18","0","0","0.82063919","false","0","YMR043W","86646","0.1010101"
"81110","6.78629032","0.03373819","0.14735591","0.33333333","HAP4","4","4","15","0.084","0.045375","0.295","3.1802E-6","-0.117","0.071395","false","false","YKL109W","5.0","4","0","0","0.78569295","false","0","YKL109W","6894","0.33928571"
"81111","10.08064516","1.632E-5","0.0992","0.0","APG12","2","2","20","0.088","0.143","-0.332","0.011008","0.378","0.012775","false","false","YBR217W","2.0","2","0","0","0.66367981","false","0","YBR217W","2","1.0"
